,tms_loading,date_loading,id_vendor,vendor,os,brand,model,price,original_price,ram,memory,sim,gps,a_gps,color,display_type,display_size,carrier,battery_capacity,height,width,length,weight
300,2020-08-13 18:33:04.680077,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone max pro M2 ZB631KL-4D087EU 16,€199.00,€319.99,6   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.3   """,No,5000   mAh,157.9   mm,75.5   mm,8.5   mm,175   g
301,2020-08-13 18:33:53.918629,2020-08-13,2,Unieuro,Android  ,LG,Q60,€159.00,€249.90,3   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.26   """,No,3500   mAh,161.3   mm,77   mm,8.7   mm,172   g
302,2020-08-13 18:34:33.419150,2020-08-13,2,Unieuro,Android  ,Honor,View 20,€399.00,€599.00,8   GB,256   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,,"6.4   """,No,4000   mAh,156.9   mm,75.4   mm,8.1   mm,180   g
303,2020-08-13 18:35:02.514223,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max Pro (M2) ZB631KL-4D067EU 16,€199.00,€299.99,6   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.3   """,No,5000   mAh,157.9   mm,75.5   mm,8.5   mm,175   g
304,2020-08-13 18:35:46.846278,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max Pro (M2) ZB631KL-4J068EU,€199.00,€299.99,6   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Titanio  ,IPS  ,"6.3   """,No,5000   mAh,157.9   mm,75.5   mm,8.5   mm,175   g
305,2020-08-13 18:36:31.893955,2020-08-13,2,Unieuro,Android  ,Huawei,P smart Z,€189.90,€279.90,4   GB,64   GB,Dual SIM ibrida  ,Sì  ,Sì  ,Black  ,LTPS  ,"6.59   """,No,4000   mAh,163.5   mm,77.3   mm,8.8   mm,196.8   g
306,2020-08-13 18:37:05.286793,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone ZB602KL-4A143EU,€179.00,€259.99,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,IPS  ,"6   """,No,5000   mAh,8.45   mm,159   mm,76   mm,180   g
307,2020-08-13 18:37:41.773781,2020-08-13,2,Unieuro,Android  ,Meizu,M6T,€89.99,€129.99,2   GB,16   GB,Doppia SIM  ,Sì  ,,Blu  ,LTPS  ,"5.7   """,No,3300   mAh,152.3   mm,73   mm,8.4   mm,145   g
308,2020-08-13 18:38:10.705836,2020-08-13,2,Unieuro,Android  ,Motorola,one Action 16,€199.00,€279.99,4   GB,128   GB,Doppia SIM  ,Sì  ,Sì  ,Blu  ,IPS  ,"6.3   """,No,3500   mAh,160.1   mm,71.2   mm,9.15   mm,181   g
309,2020-08-13 18:38:46.749811,2020-08-13,2,Unieuro,Android  ,Samsung,Galaxy A30s,€199.00,€279.00,4   GB,64   GB,Doppia SIM  ,Sì  ,,Nero  ,SAMOLED  ,"6.4   """,No,4000   mAh,158.5   mm,74.7   mm,7.8   mm,169   g
310,2020-08-13 18:39:34.996582,2020-08-13,2,Unieuro,Android  ,ASUS,ZenFone Max M2 ZB633KL-4A124EU smartphone,€149.00,€199.99,4   GB,64   GB,Doppia SIM  ,Sì  ,Sì  ,Nero  ,IPS  ,"6.3   """,No,4000   mAh,158   mm,76   mm,7.7   mm,160   g
